type,name,res_id,src,value,fuzzy
error,ekd.project,0,Party not find!,Заказчик не найден!,0
error,ekd.project,0,The code must be unique!,Код должен быть уникальным,0
error,ekd.project,0,Type project not find!,Тип проекта не найден!,0
error,ekd.project.type,0,The Name of the type project must be unique!,,0
error,ekd.project.type,0,The code of the type project must be unique!,,0
field,"company.company,cal_projects",0,All calendar project,,0
field,"company.company,cal_works",0,All calendar works ,,0
field,"company.company,project_expense",0,Account Expense of Project,Счет расходов по проектам,0
field,"company.company,project_revenue",0,Account Revenue of Project,Счет оплат по проектам,0
field,"company.employee,calendar",0,Calendar,Календарь,0
field,"ekd.account.budget,project",0,Project,Проект,0
field,"ekd.account.move,Project",0,Project,Учет проектов,0
field,"ekd.account.move,project",0,Project,Учет проектов,0
field,"ekd.account.move.line,ct_project",0,Credit Project,,0
field,"ekd.account.move.line,dt_project",0,Debit Project,,0
field,"ekd.account.move.line,project",0,Project,Учет проектов,0
field,"ekd.project,account_cost",0,Account Cost,Счет расходов,0
field,"ekd.project,account_expense",0,Account expense,Счет расходов,0
field,"ekd.project,account_income",0,Account Income,Счет оплаты,0
field,"ekd.project,account_revenue",0,Account Revenue,Счет доходов,0
field,"ekd.project,active",0,Active,Активный,0
field,"ekd.project,analytic",0,Analytic Account,Аналитический счет,0
field,"ekd.project,balance_cost",0,Cost,Расход,0
field,"ekd.project,balance_revenue",0,Revenue,Доходы,0
field,"ekd.project,budget",0,Project budget,Бюджет проекта,0
field,"ekd.project,budget_line",0,Project budget lines,Строки бюджета проекта,0
field,"ekd.project,childproject",0,Sub Project,Субпроект,0
field,"ekd.project,childs",0,Chield Project,Субпроект,0
field,"ekd.project,code",0,Project Code,Код ,0
field,"ekd.project,company",0,Company,Учет.орг.,0
field,"ekd.project,contact",0,Contact Face,Контактое лицо,0
field,"ekd.project,date_end",0,Expected End,Дата окончания,0
field,"ekd.project,date_start",0,Starting Date,Дата начала,0
field,"ekd.project,employee",0, Performer,Исполнитель,0
field,"ekd.project,end_date",0,Expected End,Дата окончания,0
field,"ekd.project,events",0,Project events,,0
field,"ekd.project,full_name",0,Full Project Name,Полное наименование,0
field,"ekd.project,manager",0,Coordinator,Координатор,0
field,"ekd.project,members",0,Project Members,Участники проекта,0
field,"ekd.project,metod",0,Metod,Метод,0
field,"ekd.project,metod_func",0,Metod,Метод,0
field,"ekd.project,name",0,Project Name,Наименование,0
field,"ekd.project,notes",0,Notes,Комментарии,0
field,"ekd.project,parent",0,Parent Project,Основной проект,0
field,"ekd.project,partner",0,Party,Контрагент,0
field,"ekd.project,party",0,Customer,Заказчик,0
